Song Title,Artist,Spotify URI,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Valence,Tempo
너라고 It's You,SUPER JUNIOR,2TG8kKgwsyyZU8lZIH6SZ1,0.092,0.752,0.934,8.80E-06,0.14,0.0361,0.668,119.996
Hot Summer,f(x),1dyMRzKZMakJqmOnsUUZ9X,0.00431,0.769,0.966,2.93E-05,0.265,0.0292,0.783,123.019
Alone,SISTAR,40gUfKHwCNLpXowFN9Hvsu,0.263,0.769,0.961,0,0.146,0.0371,0.89,114.982
Tonight,BIGBANG,5BGFEihEqSVBPWICqVnPIU,0.00999,0.669,0.855,0,0.506,0.0445,0.25,129.909
Good-bye Baby,miss A,3zsqNf5Qm06qOiO8E0IxQU,0.0485,0.77,0.817,5.22E-05,0.0699,0.0431,0.729,138.054
Again & Again,2PM,1vt78A1ZPaMsAaJyyRRep6,0.108,0.878,0.732,0,0.105,0.0442,0.828,126.987
Beautiful Night,Beast,3NlzcNh6rPwP0FAVXgt8rG,0.0441,0.652,0.941,0,0.317,0.0564,0.685,123.03
Can't Stop,CNBLUE,2sdf2x4YLaHb1k9HtE9cBs,0.621,0.596,0.882,0,0.0682,0.0697,0.4,130.027
Red Light,f(x),4ML3iXqwb35FHG0SW1HVGc,0.000457,0.623,0.924,0.00013,0.0414,0.0862,0.775,128.947
Falling In Love,2NE1,2Jj05yf4C9PWgH7xQuVNIm,0.0325,0.66,0.626,0,0.369,0.0719,0.418,176.194
Miss Right,TEEN TOP,5hwwVIhxzHvEdQOIvmrmau,0.228,0.766,0.945,0,0.274,0.0318,0.966,120.024
Love Like This,SS501,6ikuCPBHanUnebgfeGJ0id,0.0268,0.581,0.838,0,0.209,0.0783,0.771,155.891
Lupin,KARA,3RmwOvD5VBSsqSES1GsFX6,0.00293,0.693,0.927,0.00668,0.118,0.0661,0.543,135.934
I'll Be Back,2PM,4oI41JVdiftLlWKmwOtGye,0.00793,0.803,0.903,3.91E-06,0.132,0.0508,0.665,130.002
Shock,Beast,2nzKrSghWXVnpudod8SKoY,0.00208,0.69,0.904,0,0.0793,0.0365,0.525,134.962
Love Ya,SS501,6nW76DRJWhwBnhTLVripJe,0.0271,0.328,0.864,0,0.375,0.445,0.633,167.913
High High,GD&TOP,00Luoss7SGaxzTEy94cfia,0.00734,0.7,0.864,0,0.0707,0.0645,0.561,129.999
Come Back To Me,SE7EN,4ezlt6ciGxes2ctqphnKVU,0.309,0.768,0.565,0,0.107,0.0273,0.796,131.987
Lucifer,SHINee,48239f9arCavZ0KjdEk3Zd,0.0323,0.75,0.914,0,0.107,0.0518,0.866,125.034
남자 없이 잘 살아,miss A,7hCnoPpEDBMGnooYnOCRPX,0.0202,0.753,0.757,1.98E-05,0.0531,0.0366,0.893,155.993
No more perfume on you,TEEN TOP,3UFnHBPaPkZhe04IqqlUcn,0.00507,0.591,0.872,0,0.108,0.0411,0.768,130.018
DIVA,After School,7AAyzxwoFaL55IJMJVn2Oh,0.186,0.675,0.988,0,0.24,0.0612,0.856,129.98
Ring My Bell,Girl's Day,19euxgpVaBlvBOIRTLsgJQ,0.154,0.485,0.956,0,0.072,0.132,0.813,197.925
Crazy,TEEN TOP,7bayUG8A1EwRJRm6955F96,0.00802,0.642,0.994,0,0.277,0.0439,0.879,139.993
10 Out of 10,2PM,0aIDuCLgytKidMtXhNp7Z6,0.046,0.79,0.918,0,0.291,0.0718,0.752,108.977
Bad Girl,Beast,7gavFJaP2PmDAOhO5VXjHS,0.111,0.732,0.867,0,0.0896,0.0407,0.902,125.057
Sixth Sense,Brown Eyed Girls,2HT3UJvQ6Gz290CfYVxSLr,0.0275,0.676,0.933,0,0.357,0.177,0.658,127.922
여자 대통령,Girl's Day,0cFGAeKZriFUSwg1b0CIY7,0.0572,0.769,0.914,2.15E-06,0.29,0.0436,0.533,109.968
Jumping,KARA,50TJXtdJhN2x6zxcp4pKZN,0.00278,0.585,0.99,0.00178,0.2,0.164,0.776,125.974
Hey You,CNBLUE,2XXXPN8xMAR9kot7S0GLbE,0.0339,0.508,0.853,0,0.287,0.143,0.67,200.157
Without U,2PM,0qQvKdS4Lj8dprNM1NUI59,0.00806,0.782,0.759,0,0.365,0.168,0.479,131.995
Beautiful Target,B1A4,6sECoPPkNmP6RIzYXEhvxA,0.112,0.737,0.935,0,0.434,0.0325,0.661,129.987
"I will get lost, you go your way (Feat. Jun Hyung Yong)",G.NA,7tLzYnj0QjiUbYvl0G4xYn,0.336,0.667,0.834,0,0.174,0.0686,0.511,77.481
Sign,Brown Eyed Girls,3liK5xPEDnfkRkJ91gz0Wt,0.0407,0.711,0.888,0,0.369,0.0798,0.77,133.99
Something,Girl's Day,0WZmmgDaXgwEUY66Js0Vo3,0.179,0.813,0.683,0,0.0748,0.0285,0.668,107.95
Balloons,TVXQ!,4Q8XZAsvHH5wCPisKMisH5,0.241,0.616,0.927,0,0.446,0.0391,0.92,143.954
Stay,MBLAQ,0Q2uAamKg36f2KH0NSepT7,0.0013,0.723,0.9,0,0.0946,0.0917,0.48,129.934
My Name,BoA,15wqZsAVQLMEqqUCIbz6Fp,0.0996,0.866,0.815,1.46E-06,0.0172,0.073,0.813,109.997
POISON,Secret,2r5xY48FMJ35oD3lKXl9eB,0.00873,0.653,0.881,0,0.0699,0.0319,0.55,102.046
Rising Sun,TVXQ!,4Ak5M4CD9XGkSUmW0loxAl,0.00783,0.614,0.953,0.000269,0.0996,0.0517,0.669,124.968
Come Back Again,INFINITE,5m6yaiNQ3VxeVmITSTBGvQ,0.06,0.782,0.962,0,0.339,0.0791,0.824,119.997
Phone Number,JINUSEAN,7IErrQn4dPUf5ch0EQVEPp,0.0515,0.699,0.792,3.48E-05,0.31,0.1,0.942,176.108
Black & White,G.NA,3fvZGpslpQexu8e8AsKgCU,0.112,0.777,0.856,0.000836,0.0347,0.0784,0.656,133.974
Y,MBLAQ,3xVGwwax3gAPAkJewnB2eZ,0.0298,0.955,0.793,3.62E-06,0.0967,0.142,0.875,122.952
Christmas Tree,V,186NCtNk1tUYS7c2DxgJ7O,0.699,0.437,0.384,2.33E-05,0.121,0.042,0.181,139.009
Stay Alive (Prod. SUGA of BTS),Jung Kook,7CAdT0HdiQNlt1C7xk2hep,0.299,0.512,0.76,0,0.103,0.0682,0.495,130.096
Stay With Me,CHANYEOL,1HYzRuWjmS9LXCkdVHi25K,0.431,0.558,0.526,0,0.126,0.033,0.202,124.709
With you,Jimin,2gzhQaCTeNgxpeB2TPllyY,0.639,0.532,0.426,0,0.134,0.0288,0.137,149.898
Yours,JIN,66sBTYlkaiyBwf4fhbIHlZ,0.354,0.488,0.427,0,0.0797,0.0382,0.157,72.035
Beautiful,Crush,6mzF8HvHdVrzJNd8M1uFCS,0.843,0.416,0.41,0,0.107,0.0292,0.219,110.252
